% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey-SW frame
%  f [Hz]          power [(mV/m)^2/Hz]   
   0.0000000e+00   1.6282818e+00
   5.5592998e-02   4.1446921e-01
   1.1118600e-01   4.4934623e-03
   1.6677899e-01   4.6606580e-03
   2.2237199e-01   2.6457449e-02
   2.7796499e-01   1.8264396e-02
   3.3355799e-01   1.2613192e-03
   3.8915098e-01   7.7480533e-04
   4.4474398e-01   6.1170707e-03
   5.0033698e-01   9.6146641e-03
   5.5592998e-01   1.6412341e-03
   6.1152298e-01   6.2015978e-04
   6.6711597e-01   2.6878603e-03
   7.2270897e-01   7.8818284e-03
   7.7830197e-01   2.3255820e-03
   8.3389497e-01   4.7363072e-04
   8.8948796e-01   1.3659982e-03
   9.4508096e-01   9.8059571e-03
   1.0006740e+00   6.2657931e-03
   1.0562670e+00   5.2394799e-04
   1.1118600e+00   3.0171959e-04
   1.1674530e+00   4.3719489e-04
   1.2230460e+00   5.4614481e-04
   1.2786389e+00   2.2301223e-04
   1.3342319e+00   1.6330080e-04
   1.3898249e+00   3.0630355e-04
   1.4454179e+00   7.6097200e-04
   1.5010109e+00   3.1072885e-04
   1.5566039e+00   1.1309738e-04
   1.6121969e+00   1.0061870e-04
   1.6677899e+00   1.3290625e-04
   1.7233829e+00   1.1754823e-04
   1.7789759e+00   8.5436190e-05
   1.8345689e+00   9.9846308e-05
   1.8901619e+00   2.4378813e-04
   1.9457549e+00   2.9934418e-04
   2.0013479e+00   1.0922149e-04
   2.0569409e+00   8.3897189e-05
   2.1125339e+00   8.9687271e-05
   2.1681269e+00   1.2043576e-04
   2.2237199e+00   7.7444441e-05
   2.2793129e+00   6.9686586e-05
   2.3349059e+00   7.8919310e-05
   2.3904989e+00   1.3261007e-04
   2.4460919e+00   1.1264599e-04
   2.5016849e+00   7.1553990e-05
   2.5572779e+00   6.2110424e-05
   2.6128709e+00   6.7394126e-05
   2.6684639e+00   6.2413315e-05
   2.7240569e+00   5.3394920e-05
   2.7796499e+00   5.7109067e-05
   2.8352429e+00   8.1603918e-05
   2.8908359e+00   1.3432055e-04
   2.9464289e+00   8.1086910e-05
   3.0020219e+00   5.3042941e-05
   3.0576149e+00   5.5689333e-05
   3.1132079e+00   6.7774612e-05
   3.1688009e+00   6.5620573e-05
   3.2243939e+00   5.7739327e-05
   3.2799869e+00   5.0778250e-05
   3.3355799e+00   5.6091874e-05
   3.3911729e+00   6.1944224e-05
   3.4467659e+00   5.1092718e-05
   3.5023589e+00   5.0128175e-05
   3.5579519e+00   4.8483232e-05
   3.6135449e+00   5.9119306e-05
   3.6691379e+00   5.3224979e-05
   3.7247309e+00   5.1301308e-05
   3.7803238e+00   4.8795434e-05
   3.8359168e+00   5.7208748e-05
   3.8915098e+00   5.2150193e-05
   3.9471028e+00   4.6208854e-05
   4.0026958e+00   5.1320754e-05
   4.0582888e+00   4.8617227e-05
   4.1138818e+00   4.5444474e-05
   4.1694748e+00   4.2900820e-05
   4.2250678e+00   4.3232185e-05
   4.2806608e+00   4.6523563e-05
   4.3362538e+00   5.0392595e-05
   4.3918468e+00   4.9315815e-05
   4.4474398e+00   4.5552197e-05
   4.5030328e+00   4.9756729e-05
   4.5586258e+00   5.1907667e-05
   4.6142188e+00   4.8699311e-05
   4.6698118e+00   4.4305653e-05
   4.7254048e+00   4.5635010e-05
   4.7809978e+00   4.3027704e-05
   4.8365908e+00   4.6479982e-05
   4.8921838e+00   4.1568059e-05
   4.9477768e+00   4.2246707e-05
   5.0033698e+00   4.1694029e-05
   5.0589628e+00   4.2380964e-05
   5.1145558e+00   3.4284193e-05
   5.1701488e+00   3.5008056e-05
   5.2257418e+00   3.9695590e-05
   5.2813348e+00   3.8582928e-05
   5.3369278e+00   3.7027433e-05
   5.3925208e+00   3.7281925e-05
   5.4481138e+00   3.6811271e-05
   5.5037068e+00   3.7782711e-05
   5.5592998e+00   4.1683351e-05
   5.6148928e+00   4.2880917e-05
   5.6704858e+00   3.8870713e-05
   5.7260788e+00   4.0111256e-05
   5.7816718e+00   4.1452224e-05
   5.8372648e+00   3.6771384e-05
   5.8928578e+00   3.6361659e-05
   5.9484508e+00   3.7804043e-05
   6.0040438e+00   3.8447210e-05
   6.0596368e+00   3.8908511e-05
   6.1152298e+00   3.8883913e-05
   6.1708228e+00   3.7258410e-05
   6.2264158e+00   3.3045336e-05
   6.2820087e+00   3.5769170e-05
   6.3376017e+00   3.6980867e-05
   6.3931947e+00   3.4130465e-05
   6.4487877e+00   3.4120944e-05
   6.5043807e+00   3.5340218e-05
   6.5599737e+00   3.6936085e-05
   6.6155667e+00   3.3751228e-05
   6.6711597e+00   3.5190791e-05
   6.7267527e+00   3.5646503e-05
   6.7823457e+00   3.4771210e-05
   6.8379387e+00   3.5597002e-05
   6.8935317e+00   3.7066831e-05
   6.9491247e+00   3.6512787e-05
   7.0047177e+00   3.3005686e-05
   7.0603107e+00   3.1173425e-05
   7.1159037e+00   3.3479862e-05
   7.1714967e+00   3.3833592e-05
   7.2270897e+00   3.4771825e-05
   7.2826827e+00   2.8564289e-05
   7.3382757e+00   3.0323512e-05
   7.3938687e+00   2.9939662e-05
   7.4494617e+00   3.2950529e-05
   7.5050547e+00   3.3040068e-05
   7.5606477e+00   3.2001212e-05
   7.6162407e+00   3.5162603e-05
   7.6718337e+00   3.3264758e-05
   7.7274267e+00   3.2262811e-05
   7.7830197e+00   3.1740694e-05
   7.8386127e+00   3.1174476e-05
   7.8942057e+00   2.9523170e-05
   7.9497987e+00   3.0065725e-05
   8.0053917e+00   3.2558683e-05
   8.0609847e+00   3.2079021e-05
   8.1165777e+00   3.3210375e-05
   8.1721707e+00   3.4754608e-05
   8.2277637e+00   3.4918568e-05
   8.2833567e+00   3.1792745e-05
   8.3389497e+00   3.1076460e-05
   8.3945427e+00   2.9699850e-05
   8.4501357e+00   2.9101991e-05
   8.5057287e+00   2.8581424e-05
   8.5613217e+00   2.7492783e-05
   8.6169147e+00   3.0177339e-05
   8.6725077e+00   3.1835181e-05
   8.7281007e+00   3.1262143e-05
   8.7836936e+00   2.9616286e-05
   8.8392866e+00   3.0851416e-05
   8.8948796e+00   3.1118280e-05
   8.9504726e+00   3.2985053e-05
   9.0060656e+00   2.6604144e-05
   9.0616586e+00   2.7170189e-05
   9.1172516e+00   2.9718895e-05
   9.1728446e+00   3.0266299e-05
   9.2284376e+00   3.0876314e-05
   9.2840306e+00   3.2185237e-05
   9.3396236e+00   3.1600218e-05
   9.3952166e+00   2.8685667e-05
   9.4508096e+00   2.8391317e-05
   9.5064026e+00   2.9932310e-05
   9.5619956e+00   2.5412070e-05
   9.6175886e+00   2.3622710e-05
   9.6731816e+00   2.5352312e-05
   9.7287746e+00   5.1240245e-05
   9.7843676e+00   5.6687614e-05
   9.8399606e+00   3.0748833e-05
   9.8955536e+00   2.6836845e-05
   9.9511466e+00   2.6940667e-05
   1.0006740e+01   3.0786788e-05
   1.0062333e+01   2.4921831e-05
   1.0117926e+01   2.3624355e-05
   1.0173519e+01   2.9972174e-05
   1.0229112e+01   5.9394516e-05
   1.0284705e+01   4.5956256e-05
   1.0340298e+01   2.4958161e-05
   1.0395891e+01   2.3848706e-05
   1.0451484e+01   2.8547869e-05
   1.0507077e+01   3.0264468e-05
   1.0562670e+01   2.1999739e-05
   1.0618263e+01   2.2373977e-05
   1.0673856e+01   2.6544431e-05
   1.0729449e+01   2.6386468e-05
   1.0785042e+01   2.7379443e-05
   1.0840635e+01   2.7959003e-05
   1.0896228e+01   2.5607352e-05
   1.0951821e+01   2.7229697e-05
   1.1007414e+01   2.7150367e-05
   1.1063007e+01   2.6749351e-05
   1.1118600e+01   2.7278321e-05
   1.1174193e+01   2.5896374e-05
   1.1229786e+01   2.5486334e-05
   1.1285379e+01   2.2879776e-05
   1.1340972e+01   2.2464490e-05
   1.1396565e+01   2.2442660e-05
   1.1452158e+01   2.2217086e-05
   1.1507751e+01   2.2195355e-05
   1.1563344e+01   2.5204324e-05
   1.1618937e+01   2.4075847e-05
   1.1674530e+01   2.1880983e-05
   1.1730123e+01   2.3075535e-05
   1.1785716e+01   2.2983570e-05
   1.1841309e+01   2.3213688e-05
   1.1896902e+01   2.5042736e-05
   1.1952495e+01   2.3675709e-05
   1.2008088e+01   2.4111646e-05
   1.2063681e+01   2.2227453e-05
   1.2119274e+01   2.2640325e-05
   1.2174867e+01   2.1291663e-05
   1.2230460e+01   2.8238846e-05
   1.2286053e+01   3.3789911e-05
   1.2341646e+01   3.0529772e-05
   1.2397239e+01   2.4558632e-05
   1.2452832e+01   2.1444961e-05
   1.2508424e+01   2.1950787e-05
   1.2564017e+01   2.3063228e-05
   1.2619610e+01   2.3041064e-05
   1.2675203e+01   2.2195344e-05
   1.2730796e+01   2.3987669e-05
   1.2786389e+01   2.3397619e-05
   1.2841982e+01   2.1464076e-05
   1.2897575e+01   2.0285456e-05
   1.2953168e+01   1.9801650e-05
   1.3008761e+01   2.0103820e-05
   1.3064354e+01   2.1645542e-05
   1.3119947e+01   2.1904142e-05
   1.3175540e+01   2.0825148e-05
   1.3231133e+01   2.1245813e-05
   1.3286726e+01   2.1891772e-05
   1.3342319e+01   2.1723845e-05
   1.3397912e+01   2.1559887e-05
   1.3453505e+01   2.1614685e-05
   1.3509098e+01   2.1237250e-05
   1.3564691e+01   2.2867005e-05
   1.3620284e+01   2.4931416e-05
   1.3675877e+01   2.4222533e-05
   1.3731470e+01   2.1350758e-05
   1.3787063e+01   2.1947270e-05
   1.3842656e+01   2.0124519e-05
   1.3898249e+01   1.6898093e-05
   1.3953842e+01   1.9374564e-05
   1.4009435e+01   1.8913745e-05
   1.4065028e+01   1.7537616e-05
   1.4120621e+01   1.8617330e-05
   1.4176214e+01   1.8941730e-05
   1.4231807e+01   1.8944119e-05
   1.4287400e+01   1.8978912e-05
   1.4342993e+01   1.9281217e-05
   1.4398586e+01   1.8294060e-05
   1.4454179e+01   2.1062426e-05
   1.4509772e+01   1.9953678e-05
   1.4565365e+01   1.8577560e-05
