% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey
%  f [Hz]          power [(mV/m)^2/Hz]   
   0.0000000e+00   3.9032690e+01
   5.5592998e-02   1.0237734e+01
   1.1118600e-01   2.1304342e-01
   1.6677899e-01   9.9236750e-02
   2.2237199e-01   5.9935587e-02
   2.7796499e-01   4.0303170e-02
   3.3355799e-01   2.7371462e-02
   3.8915098e-01   1.9476642e-02
   4.4474398e-01   1.9606679e-02
   5.0033698e-01   1.9945097e-02
   5.5592998e-01   8.5887255e-03
   6.1152298e-01   5.8934533e-03
   6.6711597e-01   6.7773541e-03
   7.2270897e-01   1.1517643e-02
   7.7830197e-01   5.5084817e-03
   8.3389497e-01   2.6601995e-03
   8.8948796e-01   3.0468253e-03
   9.4508096e-01   1.0849764e-02
   1.0006740e+00   7.1251635e-03
   1.0562670e+00   1.3811287e-03
   1.1118600e+00   1.0993809e-03
   1.1674530e+00   1.0092228e-03
   1.2230460e+00   9.8448245e-04
   1.2786389e+00   6.5752261e-04
   1.3342319e+00   5.0708482e-04
   1.3898249e+00   5.4266692e-04
   1.4454179e+00   8.8545210e-04
   1.5010109e+00   4.8677097e-04
   1.5566039e+00   3.2258664e-04
   1.6121969e+00   2.7345528e-04
   1.6677899e+00   2.6242029e-04
   1.7233829e+00   2.6580427e-04
   1.7789759e+00   2.2197892e-04
   1.8345689e+00   2.1928625e-04
   1.8901619e+00   3.5535614e-04
   1.9457549e+00   3.9611914e-04
   2.0013479e+00   1.8295049e-04
   2.0569409e+00   1.6405445e-04
   2.1125339e+00   1.6370756e-04
   2.1681269e+00   1.7560949e-04
   2.2237199e+00   1.3289292e-04
   2.2793129e+00   1.1855244e-04
   2.3349059e+00   1.3477658e-04
   2.3904989e+00   1.5546533e-04
   2.4460919e+00   1.2093070e-04
   2.5016849e+00   1.1373825e-04
   2.5572779e+00   1.1060009e-04
   2.6128709e+00   9.5091853e-05
   2.6684639e+00   8.9396150e-05
   2.7240569e+00   8.2952596e-05
   2.7796499e+00   8.0428512e-05
   2.8352429e+00   1.0382378e-04
   2.8908359e+00   1.6710956e-04
   2.9464289e+00   9.5886636e-05
   3.0020219e+00   6.4123621e-05
   3.0576149e+00   6.1190935e-05
   3.1132079e+00   6.6630017e-05
   3.1688009e+00   6.9777643e-05
   3.2243939e+00   6.3883317e-05
   3.2799869e+00   5.8466029e-05
   3.3355799e+00   5.8569625e-05
   3.3911729e+00   5.7861405e-05
   3.4467659e+00   5.5237653e-05
   3.5023589e+00   5.3411011e-05
   3.5579519e+00   5.1043882e-05
   3.6135449e+00   5.1224509e-05
   3.6691379e+00   5.4647165e-05
   3.7247309e+00   5.3064127e-05
   3.7803238e+00   4.6051101e-05
   3.8359168e+00   4.9137828e-05
   3.8915098e+00   4.7061659e-05
   3.9471028e+00   4.0830313e-05
   4.0026958e+00   3.9836336e-05
   4.0582888e+00   3.9047136e-05
   4.1138818e+00   4.0148129e-05
   4.1694748e+00   3.7317042e-05
   4.2250678e+00   2.9666533e-05
   4.2806608e+00   3.0185847e-05
   4.3362538e+00   3.7240572e-05
   4.3918468e+00   3.6424735e-05
   4.4474398e+00   3.1487798e-05
   4.5030328e+00   3.1650547e-05
