%  f [Hz]          power [(mV/m)^2/Hz]   
   0.0000000e+00   1.3051856e-01
   4.0000000e+00   3.2589718e-02
   8.0000000e+00   3.2475914e-06
   1.2000000e+01   9.6918545e-07
   1.6000000e+01   6.2328984e-07
   2.0000000e+01   4.8705436e-07
   2.4000000e+01   3.2109340e-07
   2.8000000e+01   2.5200893e-07
   3.2000000e+01   2.0087962e-07
   3.6000000e+01   1.7185255e-07
   4.0000000e+01   1.3909419e-07
   4.4000000e+01   1.1335554e-07
   4.8000000e+01   1.0323117e-07
   5.2000000e+01   8.9953738e-08
   5.6000000e+01   9.3194052e-08
   6.0000000e+01   8.7327333e-08
   6.4000000e+01   7.4588914e-08
   6.8000000e+01   7.2867235e-08
   7.2000000e+01   6.4355008e-08
   7.6000000e+01   6.4659847e-08
   8.0000000e+01   5.9164515e-08
   8.4000000e+01   5.4692220e-08
   8.8000000e+01   5.8126397e-08
   9.2000000e+01   5.6177002e-08
   9.6000000e+01   6.0737676e-08
   1.0000000e+02   5.8236456e-08
   1.0400000e+02   5.1490687e-08
   1.0800000e+02   5.1316093e-08
   1.1200000e+02   5.1773592e-08
   1.1600000e+02   5.1567893e-08
   1.2000000e+02   4.5211980e-08
   1.2400000e+02   5.3407919e-08
   1.2800000e+02   5.4282900e-08
   1.3200000e+02   5.0339152e-08
   1.3600000e+02   4.3387235e-08
   1.4000000e+02   4.5937497e-08
   1.4400000e+02   5.1466450e-08
   1.4800000e+02   5.1384879e-08
   1.5200000e+02   5.7480664e-08
   1.5600000e+02   5.2010616e-08
   1.6000000e+02   5.6663663e-08
   1.6400000e+02   5.2763030e-08
   1.6800000e+02   5.1675876e-08
   1.7200000e+02   4.7419458e-08
   1.7600000e+02   5.0933555e-08
   1.8000000e+02   4.7061948e-08
   1.8400000e+02   4.4518708e-08
   1.8800000e+02   4.5672953e-08
   1.9200000e+02   5.2865741e-08
   1.9600000e+02   5.2664492e-08
   2.0000000e+02   4.6771269e-08
   2.0400000e+02   5.4720872e-08
   2.0800000e+02   5.4313702e-08
   2.1200000e+02   4.5921424e-08
   2.1600000e+02   5.1137266e-08
   2.2000000e+02   5.1470883e-08
   2.2400000e+02   4.7958006e-08
   2.2800000e+02   4.9795792e-08
   2.3200000e+02   5.3954119e-08
   2.3600000e+02   4.8884351e-08
   2.4000000e+02   4.5454077e-08
   2.4400000e+02   4.4126002e-08
