% event from 2010-01-04 01:00 THEMIS-B EFI burst
%       f [Hz]       power [(mV/m)^2/Hz]
      2.00000     0.021401645
      6.00000    0.0054944074
      10.0000  4.7765023e-006
      14.0000  6.9266569e-007
      18.0000  3.5906057e-007
      22.0000  2.3142712e-007
      26.0000  1.3114122e-007
      30.0000  1.0965858e-007
      34.0000  1.1176556e-007
      38.0000  1.2697783e-007
      42.0000  9.0977164e-008
      46.0000  6.2454049e-008
      50.0000  7.2676782e-008
      54.0000  7.0788866e-008
      58.0000  7.0343162e-008
      62.0000  6.8450524e-008
      66.0000  4.5694489e-008
      70.0000  4.4429810e-008
      74.0000  4.3571723e-008
      78.0000  3.7774364e-008
      82.0000  4.1003068e-008
      86.0000  4.4930575e-008
      90.0000  4.6419681e-008
      94.0000  3.9636479e-008
      98.0000  3.2158158e-008
      102.000  2.9836277e-008
      106.000  3.1461894e-008
      110.000  3.5316892e-008
      114.000  4.4487379e-008
      118.000  3.2559949e-008
      122.000  2.9071267e-008
      126.000  3.4558799e-008
      130.000  4.1664525e-008
      134.000  3.6698140e-008
      138.000  3.4564320e-008
      142.000  3.7317147e-008
      146.000  4.4610260e-008
      150.000  4.1244390e-008
      154.000  4.9975550e-008
      158.000  7.4937219e-008
      162.000  1.0906647e-007
      166.000  1.1141260e-007
      170.000  5.2686236e-008
      174.000  3.9073018e-008
      178.000  4.3478190e-008
      182.000  3.3771765e-008
      186.000  3.0911140e-008
      190.000  3.5557918e-008
      194.000  4.0284663e-008
      198.000  4.2433582e-008
      202.000  4.2548107e-008
      206.000  3.5826800e-008
      210.000  3.4440101e-008
      214.000  3.2619004e-008
      218.000  3.4693311e-008
      222.000  3.8627258e-008
      226.000  3.7646655e-008
      230.000  3.3955771e-008
      234.000  3.3633983e-008
      238.000  3.8823480e-008
      242.000  4.3094493e-008
      246.000  3.8860844e-008
      250.000  3.8098933e-008
      254.000  3.9251191e-008
      258.000  4.2971870e-008
      262.000  4.0936755e-008
      266.000  4.0081120e-008
      270.000  3.9033433e-008
      274.000  4.2860405e-008
      278.000  4.2622968e-008
      282.000  4.2929972e-008
      286.000  4.4707887e-008
      290.000  4.7503423e-008
      294.000  4.6342760e-008
      298.000  4.7365304e-008
      302.000  4.5498112e-008
      306.000  5.1990186e-008
      310.000  8.9596643e-008
      314.000  1.2239617e-007
      318.000  7.6561955e-008
      322.000  1.3729230e-007
      326.000  1.9607872e-007
      330.000  1.4454605e-007
      334.000  6.2934314e-008
      338.000  5.3704839e-008
      342.000  4.9388143e-008
      346.000  4.6954226e-008
      350.000  4.8364360e-008
      354.000  4.8945415e-008
      358.000  4.5263070e-008
      362.000  4.8220332e-008
      366.000  4.9331851e-008
      370.000  5.0280771e-008
      374.000  4.4759292e-008
      378.000  4.2435493e-008
      382.000  4.2291623e-008
      386.000  4.8728431e-008
      390.000  4.4808033e-008
      394.000  3.9084058e-008
      398.000  3.8515742e-008
      402.000  3.8192999e-008
      406.000  3.8372075e-008
      410.000  4.1931766e-008
      414.000  4.1556692e-008
      418.000  4.1612063e-008
      422.000  3.8432659e-008
      426.000  3.8706788e-008
      430.000  3.7639395e-008
      434.000  4.1647877e-008
      438.000  3.7334780e-008
      442.000  3.3984152e-008
      446.000  3.5390767e-008
      450.000  3.3001234e-008
      454.000  3.5215161e-008
      458.000  3.9849546e-008
      462.000  4.2249508e-008
      466.000  4.0512134e-008
      470.000  3.9739785e-008
      474.000  3.4307255e-008
      478.000  3.3278661e-008
      482.000  3.7494397e-008
      486.000  3.4573966e-008
      490.000  3.7663442e-008
      494.000  4.0461629e-008
      498.000  3.3309916e-008
      502.000  3.3193040e-008
      506.000  3.3329136e-008
      510.000  3.2823775e-008
      514.000  3.2028040e-008
      518.000  3.1868374e-008
      522.000  3.2064036e-008
      526.000  3.0217095e-008
      530.000  2.9927680e-008
      534.000  2.7954422e-008
      538.000  2.8680723e-008
      542.000  2.9550636e-008
      546.000  3.0168456e-008
      550.000  2.9411805e-008
      554.000  3.0063120e-008
      558.000  3.1412280e-008
      562.000  3.2720405e-008
      566.000  3.1717339e-008
      570.000  3.1169523e-008
      574.000  3.0161388e-008
      578.000  2.8749658e-008
      582.000  3.0466812e-008
      586.000  3.1102388e-008
      590.000  3.1414107e-008
      594.000  3.4401846e-008
      598.000  3.6582099e-008
      602.000  3.3769163e-008
      606.000  3.2401529e-008
      610.000  3.0869276e-008
      614.000  3.1925019e-008
      618.000  3.4258623e-008
      622.000  4.0394573e-008
      626.000  3.9383631e-008
      630.000  3.2954098e-008
      634.000  3.1452121e-008
      638.000  3.1753074e-008
      642.000  3.6215056e-008
      646.000  3.3589902e-008
      650.000  2.7867303e-008
      654.000  3.2435192e-008
      658.000  3.2824508e-008
      662.000  3.2949674e-008
      666.000  3.1775043e-008
