%  f [Hz]          power [(mV/m)^2/Hz]   
   0.0000000e+00   1.3275566e+01
   1.5625000e-02   3.3407760e+00
   3.1250000e-02   8.8831246e-02
   4.6875000e-02   3.8727354e-02
   6.2500000e-02   2.3605193e-02
   7.8125000e-02   1.8019781e-02
   9.3750000e-02   3.0583268e-02
   1.0937500e-01   2.4776256e-02
   1.2500000e-01   1.5888027e-02
   1.4062500e-01   1.3942284e-02
   1.5625000e-01   7.5173444e-03
   1.7187500e-01   4.4673160e-03
   1.8750000e-01   5.2581940e-03
   2.0312500e-01   5.7942533e-03
   2.1875000e-01   3.3882070e-03
   2.3437500e-01   2.9810165e-03
   2.5000000e-01   2.1650806e-03
   2.6562500e-01   1.8079610e-03
   2.8125000e-01   2.5367974e-03
   2.9687500e-01   1.4889043e-03
   3.1250000e-01   1.2450175e-03
   3.2812500e-01   8.8106660e-04
   3.4375000e-01   1.2020414e-03
   3.5937500e-01   1.0151301e-03
   3.7500000e-01   9.2427206e-04
   3.9062500e-01   8.0218112e-04
   4.0625000e-01   9.9293682e-04
   4.2187500e-01   8.9337807e-04
   4.3750000e-01   1.1005867e-03
   4.5312500e-01   8.1021806e-04
   4.6875000e-01   6.0377036e-04
   4.8437500e-01   6.6133885e-04
   5.0000000e-01   7.0004882e-04
   5.1562500e-01   6.3720843e-04
   5.3125000e-01   5.4551381e-04
   5.4687500e-01   2.1923490e-04
   5.6250000e-01   3.6214774e-04
   5.7812500e-01   5.2133814e-04
   5.9375000e-01   5.3633977e-04
   6.0937500e-01   5.2412314e-04
   6.2500000e-01   3.1725678e-04
   6.4062500e-01   1.7964551e-04
   6.5625000e-01   2.0040957e-04
   6.7187500e-01   3.5730850e-04
   6.8750000e-01   3.2834782e-04
   7.0312500e-01   2.2111698e-04
   7.1875000e-01   2.0734311e-04
   7.3437500e-01   1.7967447e-04
   7.5000000e-01   1.8521615e-04
   7.6562500e-01   2.0012826e-04
   7.8125000e-01   2.5565966e-04
   7.9687500e-01   1.3258261e-04
   8.1250000e-01   2.1486468e-04
   8.2812500e-01   4.5102356e-04
   8.4375000e-01   2.2917337e-04
   8.5937500e-01   1.2180953e-04
   8.7500000e-01   1.3426647e-04
   8.9062500e-01   1.2737476e-04
   9.0625000e-01   1.6776640e-04
   9.2187500e-01   1.4351632e-04
   9.3750000e-01   1.5161733e-04
   9.5312500e-01   1.1707534e-04
   9.6875000e-01   1.3209291e-04
   9.8437500e-01   2.3801643e-04
   1.0000000e+00   9.2475124e-05
   1.0156250e+00   1.4549634e-04
   1.0312500e+00   7.3217900e-04
   1.0468750e+00   3.7898898e-04
   1.0625000e+00   1.0438350e-04
   1.0781250e+00   2.4215429e-04
   1.0937500e+00   2.2184472e-04
   1.1093750e+00   9.8485225e-05
   1.1250000e+00   2.2863143e-04
   1.1406250e+00   3.4865465e-04
   1.1562500e+00   1.0827694e-04
   1.1718750e+00   6.4450509e-05
   1.1875000e+00   8.4390183e-05
   1.2031250e+00   6.4936067e-05
   1.2187500e+00   7.1692199e-05
   1.2343750e+00   2.3280124e-04
   1.2500000e+00   2.1938718e-04
   1.2656250e+00   7.0208791e-05
   1.2812500e+00   1.5607848e-04
   1.2968750e+00   1.9437999e-04
   1.3125000e+00   7.1911919e-05
   1.3281250e+00   1.6051779e-04
   1.3437500e+00   4.2226854e-04
   1.3593750e+00   1.0252873e-04
   1.3750000e+00   4.5323568e-05
   1.3906250e+00   4.1258357e-05
   1.4062500e+00   3.7324319e-05
   1.4218750e+00   5.7283333e-05
   1.4375000e+00   9.4009352e-05
   1.4531250e+00   1.0689646e-04
   1.4687500e+00   6.5081284e-05
   1.4843750e+00   6.7954038e-05
   1.5000000e+00   9.4497155e-05
   1.5156250e+00   3.8272677e-05
   1.5312500e+00   1.1085214e-04
   1.5468750e+00   4.8785349e-04
   1.5625000e+00   2.0082791e-04
   1.5781250e+00   4.7653275e-05
   1.5937500e+00   7.0231123e-05
   1.6093750e+00   4.3820025e-05
   1.6250000e+00   2.7190175e-05
   1.6406250e+00   1.2052359e-04
   1.6562500e+00   2.3466576e-04
